"","year","group","date_start","date_end","duration","lake","lake_year"
"1",2009,2,2009-06-23,2009-06-26,4,"L","L_2009"
"2",2010,4,2010-05-24,2010-06-03,11,"L","L_2010"
"3",2010,6,2010-08-12,2010-08-14,3,"L","L_2010"
"4",2011,4,2011-07-19,2011-07-22,4,"L","L_2011"
"5",2013,4,2013-07-16,2013-07-19,4,"L","L_2013"
"6",2013,6,2013-08-27,2013-08-30,4,"L","L_2013"
"7",2014,4,2014-05-30,2014-06-02,4,"L","L_2014"
"8",2018,2,2018-05-24,2018-06-01,9,"L","L_2018"
"9",2009,2,2009-06-23,2009-06-26,4,"R","R_2009"
"10",2010,4,2010-05-24,2010-06-03,11,"R","R_2010"
"11",2010,6,2010-08-12,2010-08-14,3,"R","R_2010"
"12",2011,4,2011-07-20,2011-07-22,3,"R","R_2011"
"13",2013,4,2013-07-16,2013-07-19,4,"R","R_2013"
"14",2013,6,2013-08-27,2013-08-30,4,"R","R_2013"
"15",2014,4,2014-05-30,2014-06-02,4,"R","R_2014"
"16",2018,2,2018-05-24,2018-06-01,9,"R","R_2018"
"17",2013,8,2013-07-16,2013-07-20,5,"T","T_2013"
"18",2013,10,2013-08-27,2013-08-30,4,"T","T_2013"
"19",2014,4,2014-05-29,2014-06-02,5,"T","T_2014"
